init,n_train,lam,lr,steps,seed,test_acc,majority,final_train_loss
pretrained,100,0.0,6e-05,600,1337,0.2374,0.2950,0.0062
pretrained,100,0.0,0.0003,600,1337,0.2482,0.2950,0.0007
pretrained,100,0.5,6e-05,600,1337,0.2554,0.2950,0.1265
pretrained,100,0.5,0.0003,600,1337,0.2194,0.2950,0.0349
pretrained,1000,0.0,6e-05,600,1337,0.3345,0.2950,0.3380
pretrained,1000,0.0,0.0003,600,1337,0.3741,0.2950,0.4237
pretrained,1000,0.5,6e-05,600,1337,0.3237,0.2950,1.3438
pretrained,1000,0.5,0.0003,600,1337,0.4137,0.2950,1.1207
scratch,100,0.0,6e-05,600,1337,0.2374,0.2950,0.0095
scratch,100,0.0,0.0003,600,1337,0.2698,0.2950,0.0007
scratch,100,0.5,6e-05,600,1337,0.2518,0.2950,1.2711
scratch,100,0.5,0.0003,600,1337,0.2734,0.2950,0.1731
scratch,1000,0.0,6e-05,600,1337,0.3489,0.2950,1.1127
scratch,1000,0.0,0.0003,600,1337,0.3058,0.2950,0.3242
scratch,1000,0.5,6e-05,600,1337,0.3597,0.2950,2.3346
scratch,1000,0.5,0.0003,600,1337,0.2554,0.2950,1.4570
pretrained,1000,0.5,6e-05,600,1,0.2645,0.2935,1.0959
pretrained,1000,0.5,0.0003,600,1,0.3514,0.2935,1.2830
scratch,1000,0.5,6e-05,600,1,0.3406,0.2935,2.4415
scratch,1000,0.5,0.0003,600,1,0.3297,0.2935,1.5183
pretrained,1000,0.5,6e-05,600,2,0.2376,0.2376,1.1334
pretrained,1000,0.5,0.0003,600,2,0.3298,0.2376,1.1803
scratch,1000,0.5,6e-05,600,2,0.3227,0.2376,2.6021
scratch,1000,0.5,0.0003,600,2,0.3511,0.2376,1.3513
pretrained,1000,0.5,6e-05,600,3,0.3171,0.3171,1.3081
pretrained,1000,0.5,0.0003,600,3,0.3066,0.3171,1.1413
scratch,1000,0.5,6e-05,600,3,0.3240,0.3171,2.3286
scratch,1000,0.5,0.0003,600,3,0.2962,0.3171,1.4915
pretrained,1000,0.5,6e-05,600,1,0.3043,0.2935,1.2075
pretrained,1000,0.5,0.0003,600,1,0.3043,0.2935,1.2916
scratch,1000,0.5,6e-05,600,1,0.3116,0.2935,2.4244
scratch,1000,0.5,0.0003,600,1,0.2971,0.2935,1.4763
pretrained,1000,0.5,6e-05,600,2,0.3156,0.2376,1.0704
pretrained,1000,0.5,0.0003,600,2,0.3369,0.2376,1.0648
scratch,1000,0.5,6e-05,600,2,0.2801,0.2376,2.6536
scratch,1000,0.5,0.0003,600,2,0.3511,0.2376,1.5303
pretrained,1000,0.5,6e-05,600,3,0.3589,0.3171,1.1440
pretrained,1000,0.5,0.0003,600,3,0.3798,0.3171,1.2013
scratch,1000,0.5,6e-05,600,3,0.3206,0.3171,2.4380
scratch,1000,0.5,0.0003,600,3,0.2997,0.3171,1.8010
